244,246,12
246,244,12
239,240,11
240,239,11
238,245,7
245,238,7
235,238,8
238,235,8
233,240,8
240,233,8
232,248,11
248,232,11
231,248,11
248,231,11
229,249,11
249,229,11
228,241,2
241,228,2
226,231,8
231,226,8
223,242,11
242,223,11
223,249,11
249,223,11
222,225,10
225,222,10
220,247,11
247,220,11
219,221,7
221,219,7
218,224,6
224,218,6
218,227,10
227,218,10
217,232,10
232,217,10
216,232,9
232,216,9
214,219,5
219,214,5
214,221,11
221,214,11
213,235,10
235,213,10
213,238,11
238,213,11
212,214,10
214,212,10
212,219,9
219,212,9
212,221,9
221,212,9
212,244,5
244,212,5
211,222,7
222,211,7
211,225,11
225,211,11
210,212,6
212,210,6
210,214,8
214,210,8
210,219,4
219,210,4
210,221,4
221,210,4
210,244,11
244,210,11
209,211,2
211,209,2
209,222,8
222,209,8
209,225,12
225,209,12
208,226,5
226,208,5
208,231,9
231,208,9
207,210,4
210,207,4
207,212,6
212,207,6
207,214,11
214,207,11
207,219,7
219,207,7
207,221,3
221,207,3
207,244,10
244,207,10
206,209,12
209,206,12
205,207,11
207,205,11
205,210,8
210,205,8
205,214,8
214,205,8
205,219,6
219,205,6
205,221,9
221,205,9
204,222,10
222,204,10
204,225,6
225,204,6
204,231,12
231,204,12
203,249,5
249,203,5
202,204,5
204,202,5
202,209,11
209,202,11
202,211,10
211,202,10
202,222,6
222,202,6
202,225,7
225,202,7
201,216,12
216,201,12
201,217,12
217,201,12
201,232,4
232,201,4
201,248,7
248,201,7
200,203,6
203,200,6
200,223,10
223,200,10
200,249,7
249,200,7
199,237,7
237,199,7
198,223,10
223,198,10
198,242,4
242,198,4
197,230,10
230,197,10
196,205,6
205,196,6
196,214,9
214,196,9
196,219,9
219,196,9
195,238,12
238,195,12
195,245,10
245,195,10
194,220,12
220,194,12
193,243,10
243,193,10
192,243,8
243,192,8
191,202,7
202,191,7
191,204,8
204,191,8
191,222,10
222,191,10
191,225,12
225,191,12
191,231,12
231,191,12
190,220,5
220,190,5
190,247,7
247,190,7
189,200,12
200,189,12
189,203,6
203,189,6
189,220,10
220,189,10
189,249,9
249,189,9
188,230,6
230,188,6
188,233,9
233,188,9
188,240,10
240,188,10
187,208,7
208,187,7
187,226,4
226,187,4
187,231,5
231,187,5
187,248,12
248,187,12
186,189,6
189,186,6
186,203,11
203,186,11
186,249,12
249,186,12
185,201,7
201,185,7
185,232,11
232,185,11
185,248,3
248,185,3
184,188,8
188,184,8
184,197,6
197,184,6
184,230,5
230,184,5
183,215,4
215,183,4
182,198,8
